 source_domain_encoded  source_domain_original
                     0                 2sao.vn
                     1           anninh247.xyz
                     2              autoxe.net
                     3       baoangiang.com.vn
                     4           baonuocmy.com
                     5      baophapluat.online
                     6            binhluan.biz
                     7   blogxcy.wordpress.com
                     8             cand.com.vn
                     9     congtintuc24gio.com
                    10           dantri.com.vn
                    11              danviet.vn
                    12        doanhnghiepvn.vn
                    13   doisong.vnexpress.net
                    14    dulich.vnexpress.net
                    15      giadinhtiepthi.com
                    16   giaitri.vnexpress.net
                    17      haiduong.tintuc.vn
                    18         hanoimoi.com.vn
                    19    https://news.zing.vn
                    20               kenh14.vn
                    21 kinhdoanh.vnexpress.net
                    22              laodong.vn
                    23         lichngaytot.com
                    24           mangxahoi.net
                    25            news.zing.vn
                    26            nuochoauk.vn
                    27           phapluat.news
                    28      shopjaxvinhphuc.vn
                    29                 soha.vn
                    30     sohoa.vnexpress.net
                    31                sorry.vn
                    32   suckhoe.vnexpress.net
                    33            thanhnien.vn
                    34           thegioitre.vn
                    35      thethao.tuoitre.vn
                    36              thoibao.de
                    37           thoibao.today
                    38            tingame.info
                    39     tintuconline.com.vn
                    40          tintucqpvn.net
                    41              tinvn.info
                    42  trumpandq.blogspot.com
                    43              tuoitre.vn
                    44          tuvanannam.com
                    45         vietgiaitri.com
                    46      vinaexpress.com.vn
                    47           vnexpress.net
                    48         web.archive.org
                    49      www.anninhthudo.vn
                    50     www.gioitreviet.net
                    51            www.ipick.vn
                    52     www.vietgiaitri.com
                    53       www.webtretho.com
